カテゴリ,アカウント名,ユーザー名,概要・人気の理由
美容・コスメ,LIPS（リップス）,lipsjp,日本最大の美容クチコミサイト。新作情報が最速。
美容・コスメ,ヴォーチェ公式,iVoCE,雑誌VOCEのアカウント。デパコス・付録情報に強い。
美容・コスメ,MimiTV,MimiTV_Official,リアルな比較検証やバズりコスメの宝庫。
美容・コスメ,小田切ヒロ,hiromake,「そうよ〜！」でお馴染み。美意識が上がると話題。
美容・個人,水越みさと,mizukoshi_m,徹底した比較レビューで信頼性が非常に高い。
ファッション,ファッションプレス,fashionpressnet,カフェ・展示会・服・コスメ、全方位のトレンド。
ファッション,GRL グレイル,grl_official,日本最大級のプチプラ通販。常にトレンドを発信。
ファッション,しまむら,shimamura_gr,コラボ商品やプチプラ情報のチェックに必須。
ライフスタイル,丁寧な暮らし。,___teinei,憧れのインテリアや生活雑貨の紹介。
ライフスタイル,無印良品,muji_net,新商品や収納アイデアの宝庫。
ライフスタイル,山崎実業,Yamazaki_Home,TOWERシリーズなど、QOLが上がる便利グッズ。
ライフスタイル,100均の裏技,100_u_waza,ダイソー・セリア等の神アイテム紹介。
お出かけ,レッツエンジョイ東京,enjoy_tokyo,週末のイベントや新スポット情報。
お出かけ,ぐるなび,gnavi_official,インスタ映えする最新スイーツ・グルメ情報。
お出かけ,旅色-tabiiro-,tabiiro,大人の女子旅やホテル情報の紹介。
キャラ・癒やし,ちいかわ,ngnchiikawa,日本中の女性を虜にする、切なく可愛い漫画。
キャラ・癒やし,おんねこ,onneko_official,独特のゆるさが癖になる猫キャラクター。
キャラ・癒やし,可愛い動物bot,kawaii_animal_b,疲れた時に流れてきてほしい癒やし動画。
キャラ・癒やし,サンリオ,sanrio_news,ハローキティやシナモロールなどの最新グッズ。
キャラ・癒やし,コウペンちゃん,k_r_r_l_l,「生きててえらい！」と肯定してくれる癒やし。
料理・レシピ,山本ゆり,syunkon0507,読み物として面白く、失敗しない絶品レシピ。
料理・レシピ,まりえ / つくりおき食堂,mariegohan,冷蔵庫にあるもので作れる「時短」の神。
料理・レシピ,まいのおやつ,mainooyatsu,イラスト付きのレシピが可愛くて分かりやすい。
料理・レシピ,アイスマン福留,iceman_ax,新作アイスの情報はここを見るのが鉄板。
占い・心理,しいたけ。,shiitake7919,驚くほど当たると評判の「しいたけ占い」。
占い・心理,ゲッターズ飯田,getters_iida,運気を上げるための言葉やアドバイス。
エンタメ,指原莉乃,345__chan,コスメプロデュースや女子の本音を代弁。
エンタメ,藤田ニコル,2525nicole2,メイクや体型管理など、自分磨きのカリスマ。
エンタメ,仲里依紗,riisa1018naka,爆買い動画や派手なライフスタイルが人気。
エンタメ,小嶋 陽菜,haruna_kojima8,自身のアパレルブランドや美容の憧れ的存在。
インフルエンサー,ゆうこす,yukos_kawaii,「モテ」を言語化し、発信するプロデューサー。
インフルエンサー,かす,kasu_ps,若年層女子から支持されるYouTuber。
インフルエンサー,きりまる,kirimaruuu,ゆるふわなファッションと共感力の高い日常。
恋愛・コラム,カツセマサヒコ,katsuse_m,エモい文章で女性の心を掴むライター。
恋愛・コラム,さえりさん,saeri925,妄想ツイートや恋愛観に共感が集まる。
恋愛・コラム,妹尾ユウカ,yuka_seno,鋭い視点で恋愛や人間関係をバッサリ斬る。
便利・まとめ,ライフハック公式,lifehack_jp,生活の知恵や掃除術のまとめ。
便利・まとめ,極上のスイーツ,sweetroad7,見ているだけで幸せになれるスイーツ図鑑。
便利・まとめ,唯一無二の絶品グルメ,muni_gurume,日本全国の映える食べ歩き情報。
便利・まとめ,めるも編集部,merumo_news,女子向けニュースや趣味・オタク活動の話題。
便利・まとめ,窓際ななみ,mado_nana,働く女性のリアルな葛藤や共感ネタ。
トレンド,モデルプレス,modelpress,芸能速報やドラマの反応など。
トレンド,音楽ナタリー,natalie_mu,推しの出演情報やライブレポート。
トレンド,映画ナタリー,eiga_natalie,話題のアニメや実写化映画の最新情報。
トレンド,anan編集部,anan_mag,表紙が発表されるたびにバズる人気雑誌。
その他,メンソレータム公式,mentholatum_cp,可愛いイラストと肌ケア情報。
その他,3COINS公式,3COINS_news,スリコの新作は争奪戦になるためチェック必須。
その他,宝島社,takarajimasha,豪華な雑誌付録の開封・紹介。
その他,刀剣乱舞-本丸通信-,tkrb_ht,女性ファン（審神者）が非常に多い。
その他,ディズニー公式,disneyjp,夢の国の最新情報。
